gene,CTRL_1,CTRL_2,CTRL_3,CTRL_4,CTRL_5,CTRL_6,DIS_1,DIS_2,DIS_3,DIS_4,DIS_5,DIS_6
GENE5823,51,86,104,55,37,36,50,129,80,34,50,77
GENE5824,75,206,179,82,76,111,163,162,42,216,74,119
GENE5825,18,14,34,30,4,24,20,29,20,11,23,22
GENE5826,2,2,7,10,6,11,4,9,8,3,6,1
GENE5827,4,7,8,8,2,12,4,18,4,4,5,17
GENE5828,65,82,68,64,109,124,101,76,50,101,71,101
GENE5829,70,83,185,276,85,108,149,221,153,67,60,80
GENE5830,3,10,9,1,9,7,10,13,10,1,4,2
GENE5831,123,198,258,658,172,221,130,188,172,166,195,182
GENE5832,106,53,77,74,53,132,90,119,35,120,37,46
GENE5833,51,30,27,18,29,66,22,54,40,90,35,32
GENE5834,21,9,10,36,13,48,18,23,12,32,16,28
GENE5835,28,93,17,43,28,68,33,46,36,29,24,39
GENE5836,10,1,6,10,8,14,8,14,17,25,13,22
GENE5837,411,931,363,770,207,429,779,705,207,907,641,418
GENE5838,1,2,5,4,3,7,4,6,1,3,1,2
GENE5839,45,79,70,82,28,107,53,66,31,43,57,65
GENE5840,5,6,24,8,6,13,6,12,18,8,6,20
GENE5841,85,157,165,268,153,117,212,250,119,188,133,53
GENE5842,4,3,2,6,5,2,4,4,0,7,4,2
GENE5843,9,11,23,33,4,18,21,15,10,40,27,10
GENE5844,9,13,29,28,8,27,22,9,5,18,15,13
GENE5845,310,843,470,603,428,642,3350,2121,1420,3849,1897,2380
GENE5846,244,121,193,143,94,176,98,165,60,290,101,339
GENE5847,107,77,126,89,64,94,92,184,169,154,115,73
GENE5848,6,15,12,15,0,11,7,9,12,15,8,6
GENE5849,527,870,550,407,129,653,435,437,345,379,363,427
GENE5850,8,9,28,33,7,12,2,2,2,4,7,1
GENE5851,54,117,59,71,50,66,84,118,22,65,80,81
GENE5852,182,91,94,130,118,204,143,280,55,83,67,104
GENE5853,36,21,21,46,16,71,30,76,32,51,20,29
GENE5854,17,20,12,40,23,17,10,9,8,4,3,2
GENE5855,48,97,40,91,36,39,57,79,50,32,30,73
GENE5856,3,1,3,2,0,2,1,2,2,1,4,2
GENE5857,186,133,351,215,90,377,255,488,169,228,117,222
GENE5858,15,35,34,26,12,11,24,18,32,32,8,14
GENE5859,8,11,11,26,8,14,21,29,2,12,35,12
GENE5860,536,1398,516,1061,792,1218,687,1198,422,1261,468,792
GENE5861,29,86,124,111,72,163,96,156,68,154,195,53
GENE5862,143,153,147,274,110,165,107,181,135,283,117,73
GENE5863,205,139,312,232,182,212,87,303,219,166,219,222
GENE5864,338,934,466,480,119,534,862,630,1135,447,508,276
GENE5865,10,3,11,10,2,9,6,15,8,3,5,7
GENE5866,696,2671,2358,2554,1837,2219,18538,20034,8730,20835,17568,22463
GENE5867,90,182,76,158,68,112,129,199,116,85,107,76
GENE5868,9,4,4,13,4,12,70,46,47,46,58,88
GENE5869,27,107,58,84,25,66,109,169,29,186,60,33
GENE5870,341,423,393,497,253,788,579,601,119,696,985,625
GENE5871,13,8,15,14,7,16,9,14,11,25,19,9
GENE5872,59,101,57,45,34,73,101,187,93,52,24,86
GENE5873,6,39,17,22,21,26,41,20,25,24,20,11
GENE5874,0,0,3,4,0,2,1,6,0,1,2,1
GENE5875,10,29,22,15,12,14,19,4,14,27,8,28
GENE5876,7,14,2,7,8,4,3,13,6,14,5,16
GENE5877,17,19,19,21,7,11,10,21,15,11,4,14
GENE5878,289,511,280,352,169,259,152,190,400,378,365,171
GENE5879,17,27,74,38,31,22,21,64,27,20,28,33
GENE5880,199,355,209,290,103,157,173,527,168,99,181,204
GENE5881,142,46,166,71,43,122,108,193,122,55,282,305
GENE5882,7,11,12,26,10,2,10,38,15,31,12,14
GENE5883,13,7,20,11,12,31,13,11,18,15,15,6
GENE5884,11,13,18,24,18,8,5,28,6,26,9,13
GENE5885,208,334,401,337,126,534,69,48,108,58,55,75
GENE5886,5,1,4,5,5,5,3,7,0,4,4,2
GENE5887,6,7,2,7,2,8,8,5,3,6,4,4
GENE5888,58,51,14,85,39,92,57,128,56,56,132,85
GENE5889,26,17,30,20,13,21,30,19,24,18,14,21
GENE5890,546,704,1081,773,592,548,225,134,87,121,101,282
GENE5891,3,22,7,11,17,9,17,12,4,10,11,3
GENE5892,35,29,60,53,25,49,80,113,29,42,48,71
GENE5893,45,88,107,125,33,121,82,122,34,43,38,28
GENE5894,1,5,2,16,1,7,3,12,4,1,2,5
GENE5895,27,67,45,23,13,43,43,48,24,32,75,86
GENE5896,72,51,130,81,28,49,38,133,51,45,88,16
GENE5897,29,48,39,48,25,39,101,141,97,146,189,85
GENE5898,15,10,20,20,6,18,11,31,21,25,7,22
GENE5899,762,2084,467,943,606,1820,4298,2280,1636,1463,3661,796
GENE5900,27,53,29,56,14,31,18,65,46,73,29,34
GENE5901,7,15,8,14,15,16,17,18,4,33,18,17
GENE5902,36,64,71,60,15,132,131,117,35,85,75,54
GENE5903,131,356,163,193,117,141,199,333,119,152,162,377
GENE5904,4,14,25,8,3,7,6,15,8,15,2,16
GENE5905,4,6,5,13,1,7,5,15,2,15,3,4
GENE5906,81,51,129,127,75,305,176,133,86,157,159,177
GENE5907,29,25,30,35,17,28,34,52,71,39,37,52
GENE5908,249,526,445,655,469,317,349,320,339,394,829,645
GENE5909,677,1226,592,498,609,484,294,1258,504,410,564,827
GENE5910,14,57,30,14,13,34,19,61,11,14,28,6
GENE5911,22,23,27,21,15,36,12,47,18,5,25,11
GENE5912,53,59,49,26,41,66,87,39,48,37,26,39
GENE5913,44,49,73,42,29,180,46,118,32,94,66,37
GENE5914,92,42,144,219,85,144,283,273,100,127,140,275
GENE5915,33,59,66,62,39,64,37,105,34,28,72,100
GENE5916,184,97,162,173,124,182,110,187,100,147,48,41
GENE5917,159,122,68,136,53,101,99,119,36,82,66,47
GENE5918,2,6,6,3,2,8,0,3,4,1,0,5
GENE5919,4,13,15,4,6,4,8,12,4,16,8,12
GENE5920,299,269,757,1003,217,192,500,922,345,547,568,631
GENE5921,104,168,123,132,65,105,68,77,42,72,116,68
GENE5922,9,11,7,12,9,7,2,9,10,22,16,5
GENE5923,1106,1666,1259,2138,1305,4014,2353,2072,768,1214,2258,1650
GENE5924,376,565,385,262,175,335,436,482,316,568,298,118
GENE5925,5,5,7,5,3,10,4,12,2,2,5,5
GENE5926,41,32,52,42,15,55,18,40,24,15,30,23
GENE5927,94,74,93,64,45,103,51,51,45,47,51,69
GENE5928,40,45,21,0,13,46,53,26,24,34,2,33
GENE5929,12,16,7,13,7,16,14,15,11,22,6,8
GENE5930,138,124,163,109,165,95,127,255,43,102,88,118
GENE5931,28,18,34,27,35,60,62,77,20,33,28,32
GENE5932,16,32,19,32,20,53,19,80,31,57,33,16
GENE5933,487,1154,941,587,467,481,817,926,598,760,733,637
GENE5934,23,53,60,41,23,121,47,102,35,46,23,24
GENE5935,14,5,13,8,5,21,10,4,5,10,4,17
GENE5936,58,35,34,92,45,45,20,49,44,75,55,47
GENE5937,206,130,220,103,74,203,211,105,72,90,94,137
GENE5938,155,348,264,154,277,749,499,249,193,558,286,366
GENE5939,43,144,125,55,15,75,103,101,102,94,35,94
GENE5940,3,9,2,4,2,9,6,11,4,9,3,6
GENE5941,9,10,13,8,1,5,14,7,8,17,3,9
GENE5942,25,29,33,25,13,36,37,26,12,33,31,21
GENE5943,10,29,16,20,13,3,12,21,21,32,10,9
GENE5944,118,162,103,174,78,195,65,123,86,190,79,84
GENE5945,9,10,5,25,10,21,23,65,18,55,33,28
GENE5946,161,413,382,208,138,231,274,439,239,208,131,331
GENE5947,187,595,578,464,434,508,218,435,453,321,389,571
GENE5948,55,81,50,76,29,62,64,26,42,47,59,54
GENE5949,3,9,10,3,3,2,9,11,4,10,7,3
GENE5950,39,227,251,310,136,105,137,242,120,374,361,100
GENE5951,30,120,74,43,29,103,81,186,91,148,108,75
GENE5952,15,20,50,32,25,51,17,23,27,45,25,14
GENE5953,38,29,23,18,29,21,20,27,18,54,13,16
GENE5954,23,30,34,36,28,17,38,65,6,48,32,49
GENE5955,12,8,6,27,3,23,13,19,12,5,28,10
GENE5956,9,12,18,13,15,16,38,9,27,28,5,35
GENE5957,206,198,199,268,69,177,228,370,73,354,76,128
GENE5958,15,19,21,62,16,48,15,6,18,12,17,26
GENE5959,641,217,505,778,271,231,486,353,298,496,568,292
GENE5960,3,3,6,4,8,12,7,8,1,7,11,5
GENE5961,466,678,650,389,635,468,348,424,595,411,572,128
GENE5962,86,213,141,96,101,215,131,257,118,105,91,75
GENE5963,39,121,38,47,93,62,69,58,69,14,79,86
GENE5964,20,24,18,10,12,18,25,14,25,31,35,38
GENE5965,5,3,7,12,2,16,5,6,13,17,14,2
GENE5966,425,232,268,313,291,718,519,642,127,297,372,357
GENE5967,18,29,37,29,18,32,57,118,43,159,78,81
GENE5968,2,6,22,9,7,31,14,11,5,5,5,2
GENE5969,54,98,120,122,22,95,123,130,43,70,70,62
GENE5970,6,3,8,6,1,5,4,3,5,7,7,11
GENE5971,100,102,98,107,53,120,107,89,80,49,78,154
GENE5972,38,108,75,56,90,93,69,137,30,56,44,90
GENE5973,725,744,1001,597,405,326,909,1918,1169,2021,1248,1287
GENE5974,1,3,1,7,2,7,6,4,4,8,0,3
GENE5975,167,244,169,87,54,104,108,297,155,74,165,147
GENE5976,28,45,29,29,19,45,20,40,18,32,28,24
GENE5977,44,59,62,52,12,59,84,53,41,81,48,52
GENE5978,57,68,69,127,41,65,80,76,69,50,49,43
GENE5979,41,59,87,113,41,52,71,88,41,148,43,32
GENE5980,13,45,37,73,31,25,49,81,30,27,35,29
GENE5981,56,110,56,110,65,69,77,38,44,51,48,67
GENE5982,9,18,34,13,7,22,7,9,13,15,20,11
GENE5983,12,6,7,9,0,5,3,3,3,3,3,1
GENE5984,7,18,3,9,6,11,9,10,8,2,10,13
GENE5985,67,83,74,88,69,112,106,89,65,142,57,71
GENE5986,165,116,153,104,164,236,41,313,115,136,178,98
GENE5987,47,95,118,66,61,49,115,119,57,100,77,93
GENE5988,4,10,14,12,5,5,7,14,15,3,13,5
GENE5989,385,374,579,535,374,497,683,406,270,365,281,427
GENE5990,10,37,22,8,7,12,16,38,8,25,17,14
GENE5991,14,11,25,17,11,15,13,18,18,11,8,25
GENE5992,11,14,10,29,17,11,92,43,64,147,68,44
GENE5993,26,122,97,51,56,177,137,127,59,92,82,48
GENE5994,5,5,1,0,2,4,4,3,0,3,1,2
GENE5995,2,6,4,3,0,9,7,9,8,15,15,10
GENE5996,171,453,686,974,257,878,3875,1674,1600,2077,1466,2949
GENE5997,7,12,9,19,6,28,13,24,13,8,10,9
GENE5998,9,12,8,8,7,16,7,11,5,11,11,2
GENE5999,8,6,6,17,8,7,9,9,2,9,10,5
